customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10000003,Pay with PayMaya,Dec 2020,1,3865.63,2,"['Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP']",3
10000003,Bills Payment,Dec 2020,1,836,1,"['Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP']",3
10000003,PAYMAYA SHOP,Dec 2020,1,3562,13,"['Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP']",3
10000010,QR,Aug 2018,1,214,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,Online Purchase,Aug 2018,1,549,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,PAYMAYA SHOP,Aug 2018,1,30,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,P2P Sending,Aug 2018,1,50,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,Instapay Sending,Aug 2018,1,140,2,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000039,Pay with PayMaya,Mar 2018,0,193,1,['Pay with PayMaya'],1
10000057,Instapay Sending,Nov 2019,1,8270,3,['Instapay Sending'],1
10000067,PAYMAYA SHOP,May 2021,0,932,15,['PAYMAYA SHOP'],1
10000085,PAYMAYA SHOP,Jun 2020,1,199.5,3,['PAYMAYA SHOP'],1
10000116,Bills Payment,Mar 2018,1,1012,1,['Bills Payment'],1
10000150,Pay with PayMaya,Jun 2018,1,195,1,"['Pay with PayMaya', 'Online Purchase', 'Instapay Sending']",3
10000150,Online Purchase,Jun 2018,1,194,1,"['Pay with PayMaya', 'Online Purchase', 'Instapay Sending']",3
10000150,Instapay Sending,Jun 2018,1,5130,1,"['Pay with PayMaya', 'Online Purchase', 'Instapay Sending']",3
10000183,PAYMAYA SHOP,Mar 2020,1,149,2,['PAYMAYA SHOP'],1
10000279,Instapay Sending,Jul 2016,1,500,1,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",3
10000279,Bills Payment,Jul 2016,1,8702.55,1,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",3
10000279,Pay with PayMaya,Jul 2016,1,1000,1,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",3
1000030,Pay with PayMaya,Jul 2017,1,4198.98,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
1000030,Instapay Sending,Jul 2017,1,2800,2,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
1000030,Online Purchase,Jul 2017,1,129,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
1000030,PAYMAYA SHOP,Jul 2017,1,600,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
10000355,P2P Sending,Oct 2016,1,15000,2,"['P2P Sending', 'Online Purchase', 'Instapay Sending', 'Bills Payment']",4
10000355,Online Purchase,Oct 2016,1,681,1,"['P2P Sending', 'Online Purchase', 'Instapay Sending', 'Bills Payment']",4
